"wave","original_mac_m2.mg","original_corrected_mac_m2.mg","invivo_corrected_mac_m2.mg","invivo_corrected_750_normalised_mac_m2.mg"
250,0.10310851,0.0576746530420391,0.20902823950263,0.180684469340281
251,0.104652187,0.0488538098081756,0.206783794705505,0.178440024543157
252,0.106195863,0.0425406188788467,0.21047058671687,0.182126816554521
253,0.107988603,0.0365158663110869,0.211153634918135,0.182809864755787
254,0.109781343,0.0321169081153125,0.21229853096177,0.183954760799421
255,0.109044522,0.0293628634496343,0.217510495620454,0.189166725458105
256,0.108307701,0.0270124713371349,0.222790237685353,0.194446467523004
257,0.109634351,0.0262064310846698,0.217856952080125,0.189513181917776
258,0.110961002,0.0254670163086414,0.205924854613761,0.177581084451412
259,0.110805652,0.0248312613994518,0.200347277192309,0.17200350702996
260,0.110650303,0.0242275891268813,0.199142577841995,0.170798807679646
261,0.110811361,0.024005792610015,0.198788144075103,0.170444373912755
262,0.110972418,0.0237894371190982,0.191747605409702,0.163403835247353
263,0.112719447,0.0240689960297686,0.185642894089597,0.157299123927249
264,0.114466476,0.0243456099050145,0.180667836550602,0.152324066388253
265,0.115722993,0.0245427692404067,0.174793397510963,0.146449627348614
266,0.11697951,0.0247383761697275,0.174835927995612,0.146492157833263
267,0.117370735,0.0247820802267704,0.176479930493345,0.148136160330997
268,0.117761961,0.024824734585426,0.178633275307283,0.150289505144935
269,0.119738114,0.02526640162426,0.174610585799025,0.146266815636676
270,0.121714267,0.0228671783074652,0.174730887807757,0.146387117645409
271,0.12329102,0.0235014094838533,0.174920496623983,0.146576726461635
272,0.124867774,0.0241483498827104,0.17220231718507,0.143858547022721
273,0.126209957,0.0248058084002985,0.168430346838314,0.140086576675965
274,0.127552141,0.025481692743467,0.171434437856324,0.143090667693975
275,0.131224548,0.0266667948159009,0.177637396486533,0.149293626324184
276,0.134896955,0.0276866283509831,0.181322108120421,0.152978337958072
277,0.143234608,0.0297052705165088,0.181507734855568,0.15316396469322
278,0.151572261,0.0317652792980251,0.181537642808213,0.153193872645864
279,0.169942289,0.0360181480639232,0.182404157918581,0.154060387756233
280,0.188312318,0.0403600936724208,0.183122502230062,0.154778732067713
281,0.225140764,0.0487634636658055,0.185768033042968,0.157424262880619
282,0.261969211,0.0573478704316264,0.186375017955536,0.158031247793188
283,0.30958045,0.0684467626537362,0.186077103629396,0.157733333467047
284,0.357191689,0.0797644207058782,0.184522659039652,0.156178888877303
285,0.388383671,0.0875909909645722,0.185648673611491,0.157304903449142
286,0.419575653,0.0953840695381286,0.187584669286671,0.159240899124322
287,0.438071586,0.100319662725456,0.187658472545155,0.159314702382806
288,0.45656752,0.105330580692115,0.18602108772317,0.157677317560821
289,0.467580571,0.108667612790746,0.185509287229753,0.157165517067404
290,0.478593622,0.11204995882205,0.191411169555723,0.163067399393374
291,0.48391666,0.11429770154388,0.196097493216575,0.167753723054226
292,0.489239699,0.116596827186448,0.198632690511493,0.170288920349145
293,0.491079209,0.117905558084983,0.19866721338701,0.170323443224661
294,0.49291872,0.11921850018786,0.201252374235956,0.172908604073607
295,0.494605758,0.120249999101408,0.201941071394408,0.17359730123206
296,0.496292797,0.121241203166186,0.202727066929528,0.17438329676718
297,0.496841324,0.122049475669438,0.201082762044996,0.172738991882647
298,0.49738985,0.122871222854726,0.200238224471205,0.171894454308857
299,0.497042321,0.12339809302995,0.202767710934088,0.17442394077174
300,0.496694792,0.123936257524938,0.208917884979786,0.180574114817437
301,0.495612772,0.124395640788838,0.211353602914506,0.183009832752157
302,0.494530752,0.124869346215604,0.211743348601337,0.183399578438988
303,0.492577199,0.125165655306287,0.212032073740845,0.183688303578497
304,0.490623645,0.125460768359821,0.21351839631029,0.185174626147941
305,0.488314804,0.12573612907385,0.215233066008439,0.186889295846091
306,0.486005964,0.12599109988403,0.215636261216239,0.18729249105389
307,0.483448765,0.126508066916109,0.21464198917281,0.186298219010461
308,0.480891567,0.127016128566792,0.217328028933558,0.18898425877121
309,0.478054736,0.127582837772717,0.222843804830354,0.194500034668005
310,0.475217906,0.128152252696063,0.226539282970973,0.198195512808625
311,0.471888253,0.128539472161092,0.228115914805821,0.199772144643473
312,0.468558599,0.128955445628203,0.229718516915974,0.201374746753625
313,0.465619984,0.129537191633481,0.230710988380181,0.202367218217832
314,0.462681368,0.130142694552852,0.232060336715266,0.203716566552917
315,0.459908437,0.130712141028364,0.234182737375197,0.205838967212848
316,0.457135506,0.131283469188672,0.236034750964493,0.207690980802144
317,0.454640682,0.131988827738557,0.240457565363224,0.212113795200875
318,0.452145859,0.132704068097291,0.242104178293496,0.213760408131147
