2.93E-18,1.51E-18,1.18E-19,200
2.93E-18,1.51E-18,1.18E-19,201
2.93E-18,1.51E-18,1.18E-19,202
2.93E-18,1.51E-18,1.18E-19,203
2.93E-18,1.51E-18,1.18E-19,204
2.93E-18,1.51E-18,1.18E-19,205
2.93E-18,1.51E-18,1.18E-19,206
2.93E-18,1.51E-18,1.18E-19,207
2.93E-18,1.51E-18,1.18E-19,208
2.93E-18,1.51E-18,1.18E-19,209
2.93E-18,1.51E-18,1.18E-19,210
2.93E-18,1.51E-18,1.18E-19,211
2.93E-18,1.51E-18,1.18E-19,212
2.93E-18,1.51E-18,1.18E-19,213
2.93E-18,1.51E-18,1.18E-19,214
2.93E-18,1.51E-18,1.18E-19,215
2.93E-18,1.51E-18,1.18E-19,216
2.93E-18,1.51E-18,1.18E-19,217
2.93E-18,1.51E-18,1.18E-19,218
2.93E-18,1.51E-18,1.18E-19,219
7.40E-10,3.16E-10,3.54E-11,220
7.40E-10,3.16E-10,3.54E-11,221
7.40E-10,3.16E-10,3.54E-11,222
7.40E-10,3.16E-10,3.54E-11,223
7.40E-10,3.16E-10,3.54E-11,224
7.40E-10,3.16E-10,3.54E-11,225
7.40E-10,3.16E-10,3.54E-11,226
7.40E-10,3.16E-10,3.54E-11,227
7.53E-10,3.22E-10,3.61E-11,228
7.53E-10,3.22E-10,3.61E-11,229
7.53E-10,3.22E-10,3.61E-11,230
7.66E-10,3.27E-10,3.67E-11,231
7.66E-10,3.27E-10,3.67E-11,232
7.79E-10,3.33E-10,3.73E-11,233
7.92E-10,3.39E-10,3.79E-11,234
8.05E-10,3.44E-10,3.86E-11,235
8.05E-10,3.44E-10,3.86E-11,236
8.18E-10,3.50E-10,3.92E-11,237
8.31E-10,3.55E-10,3.98E-11,238
8.31E-10,3.55E-10,3.98E-11,239
8.44E-10,3.61E-10,4.04E-11,240
8.44E-10,3.61E-10,4.04E-11,241
8.44E-10,3.61E-10,4.04E-11,242
8.31E-10,3.55E-10,3.98E-11,243
8.18E-10,3.50E-10,3.92E-11,244
8.05E-10,3.44E-10,3.86E-11,245
7.92E-10,3.39E-10,3.79E-11,246
7.79E-10,3.33E-10,3.73E-11,247
7.66E-10,3.27E-10,3.67E-11,248
7.53E-10,3.22E-10,3.61E-11,249
7.27E-10,3.11E-10,3.48E-11,250
7.14E-10,3.05E-10,3.42E-11,251
7.01E-10,3.00E-10,3.36E-11,252
6.88E-10,2.94E-10,3.30E-11,253
6.88E-10,2.94E-10,3.30E-11,254
