Wavelength,13_7_S1,13_7_S2,13_7_S3,13_7_S4,13_7_S5,13_7_SB1,13_7_SB2,13_7_SB3,13_7_SB4,13_7_SB5,14_7_S1,14_7_S2,14_7_S3,14_7_S4,14_7_S5,14_7_SB1,14_7_SB2,14_7_SB3,14_7_SB4,14_7_SB5,14_7_SB6,14_7_SB7,14_7_SB8,14_7_SB9,14_7_SB10,15_7_S1,15_7_S2,15_7_S3,15_7_S4,15_7_SB1,15_7_SB2,15_7_SB3,15_7_SB4,15_7_SB5,17_7_SB1,17_7_SB2,20_7_SB1,20_7_SB2,20_7_SB3,20_7_SB4,21_7_S1,21_7_S2,21_7_S3,21_7_S4,21_7_S5,21_7_SB1,21_7_SB2,21_7_SB3,21_7_SB4,21_7_SB5,21_7_SB6,21_7_SB7,21_7_SB8,21_7_SB9,21_7_SB10,22_7_S1,22_7_S2,22_7_S3,22_7_S4,22_7_S5,22_7_SB1,22_7_SB2,22_7_SB3,22_7_SB4,22_7_SB5,22_7_SB6,22_7_SB7,23_7_S1,23_7_S2,23_7_S3,23_7_S4,23_7_S5,23_7_SB1,23_7_SB2,23_7_SB3,23_7_SB4,23_7_SB5,24_7_S1,24_7_S2,24_7_SB1,24_7_SB2,25_7_S1,25_7_S2,25_7_S3,25_7_S4,25_7_S5,RAIN2
474,0.442145626,0.368083337,0.553836858,0.673867519,0.303222054,0.456430275,0.283515737,0.557934459,0.279832835,0.685124063,0.409033381,0.525151469,0.525566804,0.70249045,0.293090407,0.261398134,0.435340348,0.3805695,0.233057348,0.303095061,0.70039727,0.52160685,0.779383444,0.351271221,0.297805816,0.464278615,0.466008326,0.533574725,0.731799932,0.612461627,0.370154236,0.273824473,0.433017289,0.639381216,0.838395885,0.866175971,0.450891951,0.467401591,0.424825107,0.513202285,0.420001988,0.595881242,0.354247573,0.705687007,0.380609029,0.209505689,0.312675148,0.591015299,0.428385541,0.420917958,0.373365722,0.311168005,0.3810826,0.558596556,0.309082355,0.439890233,0.548908358,0.298386446,0.701821048,0.345108237,0.367851749,0.43016021,0.490808878,0.28135578,0.287774526,0.449687822,0.433371707,0.399868758,0.478513117,0.287703236,0.696666542,0.364146369,0.636698626,0.611417135,0.28146148,0.325398502,0.304984737,0.314465993,0.366093009,0.439652278,0.25894905,0.36506157,0.345153632,0.431496222,0.387785827,0.349818283,0.1507
475,0.442102395,0.368121976,0.553836634,0.673842901,0.303466535,0.456745728,0.283415229,0.557847632,0.279979046,0.685116895,0.409094581,0.525240453,0.525699783,0.702562452,0.293214454,0.261526117,0.43544525,0.380697788,0.233099026,0.303212763,0.700421409,0.521747946,0.779427151,0.351358054,0.297901359,0.464237764,0.466067626,0.53360502,0.731795372,0.61242744,0.370098924,0.273894433,0.433095987,0.639378186,0.83844157,0.866262019,0.450984888,0.467459682,0.424930169,0.513148274,0.419940686,0.5958645,0.354216779,0.705626529,0.380664647,0.209648402,0.312891668,0.591069189,0.428552916,0.420991598,0.373434411,0.311309379,0.381267139,0.558655426,0.309176977,0.439953337,0.548849857,0.298401204,0.701794684,0.345236319,0.367962867,0.430298818,0.490884365,0.281552404,0.287896407,0.449722558,0.433416323,0.399879332,0.478576515,0.287792452,0.696752642,0.364399472,0.636766589,0.61148023,0.281645695,0.325565933,0.305142379,0.314408982,0.366101704,0.439744811,0.259058077,0.365116027,0.345201056,0.43144726,0.387791674,0.349867419,0.1506
476,0.442094476,0.3681897,0.553889264,0.673830461,0.303748095,0.457044642,0.283331792,0.557790272,0.280052772,0.68516685,0.409118183,0.525350988,0.525832351,0.702539534,0.293338159,0.261600176,0.435546403,0.380804004,0.23312405,0.30330931,0.700479081,0.521874096,0.779500551,0.351483038,0.297978793,0.464242045,0.466135662,0.533659948,0.73177574,0.61237195,0.370069573,0.273986957,0.433119409,0.63939374,0.838427346,0.866344349,0.451063468,0.467530324,0.425051231,0.513177213,0.419966256,0.595875089,0.354262554,0.70559694,0.380775971,0.209787723,0.313082824,0.59117389,0.42873228,0.421114101,0.373518633,0.311471114,0.38142865,0.558728072,0.309301508,0.439999294,0.548927661,0.298487183,0.701834023,0.34540123,0.368089045,0.430447166,0.490971404,0.28174143,0.288045605,0.449781219,0.433477513,0.399936438,0.478705354,0.287871627,0.696858873,0.364571163,0.636793571,0.611574896,0.281786482,0.325700652,0.305312665,0.314332032,0.366153314,0.439846732,0.259196809,0.36516202,0.34526826,0.431404133,0.387781582,0.349909551,0.1506
477,0.442161441,0.368275197,0.553973303,0.673820813,0.304021688,0.457345888,0.283325443,0.557795353,0.280131463,0.685207091,0.409194187,0.525377865,0.525944769,0.702533507,0.293458116,0.261669446,0.435656853,0.380897679,0.233184957,0.303410116,0.700517736,0.521993102,0.779559861,0.351599068,0.298043897,0.464276268,0.46623321,0.533749063,0.731791317,0.612357964,0.370057353,0.274074226,0.433177502,0.639404431,0.838429219,0.866427534,0.451159396,0.467629317,0.425182014,0.5132064,0.419983914,0.595905903,0.35432729,0.705545736,0.380899517,0.209938398,0.313272841,0.591315021,0.428930681,0.421246215,0.373617746,0.311647526,0.381591702,0.558788594,0.309425734,0.440041418,0.549037258,0.298583957,0.701911866,0.345568568,0.368245169,0.430604627,0.49109989,0.281932409,0.288166757,0.449873177,0.433549405,0.400028457,0.478857984,0.287952129,0.696925539,0.364748904,0.636854081,0.611661106,0.281946697,0.325824561,0.305478889,0.314266765,0.366181468,0.439951487,0.259341793,0.365203564,0.345328481,0.431362507,0.38779177,0.349951021,0.15055
478,0.442226288,0.368357409,0.554056452,0.67380989,0.304262597,0.457643698,0.283402312,0.557863307,0.280246767,0.685209667,0.409342644,0.525331104,0.526040136,0.702595098,0.293579342,0.261768312,0.43576862,0.380994141,0.233301416,0.303536966,0.700526697,0.52210902,0.779598088,0.351686203,0.298113297,0.464321809,0.46634892,0.533854366,0.731848168,0.612393767,0.370050537,0.274147088,0.433292799,0.639405558,0.838472734,0.866507686,0.451278128,0.467743706,0.425309548,0.513201776,0.419954352,0.595939823,0.354365287,0.705467875,0.381003894,0.21009261,0.313476676,0.591455983,0.429133919,0.421356846,0.37372469,0.311829607,0.381763232,0.558838429,0.309530992,0.440094597,0.549106576,0.298648351,0.701984058,0.345719417,0.368417054,0.430758187,0.491256392,0.282133451,0.288251862,0.449981198,0.433622662,0.400124638,0.479001021,0.288035756,0.696942626,0.364949891,0.636972956,0.611726685,0.282147823,0.325957063,0.305638491,0.314235881,0.366172416,0.440051458,0.259482426,0.365245421,0.345371182,0.431312694,0.387821353,0.34999141,0.15055
479,0.442245635,0.368392651,0.554087346,0.673796976,0.304493205,0.457877002,0.283473177,0.557933985,0.28033126,0.685223627,0.40945117,0.525448692,0.526160607,0.702643241,0.293729506,0.26190857,0.435829139,0.381123509,0.233449429,0.303718856,0.700577948,0.522215069,0.779698986,0.351780487,0.298228206,0.464361133,0.466402326,0.53390601,0.731870697,0.612372214,0.370029623,0.274237679,0.433348447,0.639428259,0.838475775,0.86656225,0.451370787,0.46780285,0.425429651,0.513229945,0.419954254,0.595944172,0.354350901,0.705455922,0.381084093,0.210189324,0.313695056,0.591513804,0.42928324,0.421427251,0.373816035,0.312010235,0.381913642,0.558937034,0.30961991,0.440180931,0.549139825,0.298668133,0.701966487,0.345870154,0.368537402,0.430863952,0.491341803,0.282361106,0.288389407,0.450033602,0.433682747,0.400154254,0.479133109,0.288100222,0.696996144,0.365033832,0.637078347,0.611820972,0.282327331,0.32611068,0.305822685,0.31424915,0.366220171,0.440135268,0.259644122,0.365296017,0.345420818,0.431224418,0.387784465,0.350014803,0.1505
480,0.442240696,0.368425507,0.554119756,0.673800617,0.304728925,0.458105042,0.283541337,0.558044449,0.280418,0.68525259,0.409521554,0.525646751,0.52629106,0.702709379,0.293885702,0.262022394,0.435903471,0.381243433,0.23352833,0.303844859,0.700630984,0.522329255,0.779740287,0.351892958,0.298336975,0.464374753,0.466482355,0.533941713,0.731855441,0.61238966,0.370023929,0.274324026,0.433405187,0.639474234,0.838459806,0.866571644,0.451473012,0.467855398,0.425527634,0.513283311,0.419951426,0.595905488,0.354347697,0.705423629,0.381165236,0.210305373,0.313885477,0.591542241,0.429448604,0.421521714,0.373922248,0.31218083,0.382067975,0.559039758,0.309733228,0.44023,0.549150837,0.298715599,0.701939759,0.345999563,0.368636753,0.430980907,0.491401699,0.282542989,0.288470631,0.450101396,0.433740527,0.400199314,0.47922395,0.288176013,0.697080311,0.365173762,0.637153887,0.611906034,0.282491782,0.326258619,0.306001943,0.314254697,0.366274364,0.440236792,0.259800789,0.365326817,0.345456828,0.431172976,0.387789911,0.350040691,0.1505
481,0.442232516,0.368464107,0.554156583,0.673794031,0.304955073,0.458340578,0.28360524,0.558157714,0.28052797,0.685276404,0.40956467,0.525810431,0.526420845,0.70276969,0.294037104,0.262100108,0.435991989,0.381348088,0.233559404,0.303926801,0.700672124,0.522453952,0.779721728,0.352010126,0.298427438,0.464342423,0.466573004,0.533976607,0.731820383,0.612440291,0.370032224,0.274416803,0.433469156,0.639513576,0.838417643,0.866549262,0.451588815,0.467905395,0.425579303,0.513324467,0.419914313,0.595828767,0.354362478,0.705316442,0.3812409,0.21045915,0.314047724,0.59155507,0.429620544,0.421636204,0.374038044,0.312340898,0.38223122,0.559123014,0.309859662,0.44023969,0.549154241,0.298788483,0.701919265,0.346110824,0.368726045,0.431110472,0.491443096,0.28267946,0.288511115,0.450185639,0.433798077,0.400271007,0.479293686,0.288262715,0.697165461,0.36536328,0.637196619,0.611962743,0.282642098,0.326390079,0.306163164,0.314227131,0.366310698,0.44033518,0.25994661,0.365339877,0.345483323,0.431139782,0.387835804,0.350071137,0.1505
482,0.442221948,0.368492018,0.554164622,0.673710217,0.305130657,0.458566513,0.283665457,0.558177569,0.280680663,0.685250405,0.40960652,0.525768453,0.526539445,0.702758007,0.294179885,0.262174947,0.436047829,0.381458067,0.233664394,0.304072892,0.700702902,0.522580549,0.779733151,0.352095832,0.298514327,0.464240388,0.466578597,0.534015044,0.731807416,0.612443741,0.370030536,0.274553053,0.433511557,0.639484985,0.838322143,0.866537237,0.45170183,0.467926542,0.425643326,0.513283126,0.41980203,0.595735695,0.35436058,0.705088854,0.381279557,0.210630946,0.314215104,0.591541584,0.429729966,0.421714258,0.374131438,0.312497568,0.382396077,0.559172941,0.309945755,0.440259952,0.549167986,0.298826967,0.701876461,0.346226463,0.368806926,0.431212387,0.491449538,0.282827698,0.288621604,0.450237443,0.433852197,0.400331719,0.479405956,0.288337363,0.697193691,0.365462847,0.637217654,0.611980992,0.282779089,0.326504765,0.306302917,0.314156881,0.366316316,0.440364185,0.260090253,0.365361262,0.345523092,0.431031044,0.387838386,0.350095946,0.1505
483,0.44219316,0.368523097,0.554164677,0.673671609,0.305329072,0.458771206,0.283728704,0.558210636,0.280808119,0.685227637,0.409681082,0.525863888,0.526661226,0.702741626,0.294335584,0.262313883,0.436129527,0.381540577,0.233729753,0.304245856,0.700669412,0.522741809,0.779760132,0.352178318,0.298618267,0.464203224,0.466540783,0.534008156,0.731778493,0.612460619,0.370032874,0.274669695,0.433552191,0.639468529,0.838272309,0.866534018,0.451762539,0.467991605,0.425734732,0.513241656,0.419700753,0.595577644,0.354334063,0.704960165,0.38133238,0.210750888,0.314427824,0.591523131,0.429836122,0.421781251,0.374209656,0.312629855,0.38253193,0.559204147,0.310043451,0.440234003,0.549151108,0.298856696,0.701837492,0.346327369,0.368881872,0.431287719,0.491470042,0.282949212,0.288741244,0.45027164,0.433886228,0.400374778,0.479510403,0.288410128,0.697238006,0.365588942,0.637266579,0.611989454,0.282929059,0.326615726,0.306454343,0.314105408,0.366308736,0.440421989,0.260234008,0.365338661,0.345576794,0.430912635,0.387843102,0.350099681,0.15045
