wave,original_mac_m2.mg,original_corrected_mac_m2.mg,invivo_corrected_mac_m2.mg,invivo_corrected_750_normalised_mac_m2.mg,,,,200,0,0,0,0
316,0.457135506,0.131283469,0.236034751,0.207690981,,,,267,0.117370735,0.02478208,0.17647993,0.14813616
317,0.454640682,0.131988828,0.240457565,0.212113795,,,,268,0.117761961,0.024824735,0.178633275,0.150289505
318,0.452145859,0.132704068,0.242104178,0.213760408,,,,269,0.119738114,0.025266402,0.174610586,0.146266816
319,0.449684143,0.133613683,0.243801356,0.215457586,,,,270,0.121714267,0.022867178,0.174730888,0.146387118
320,0.447222427,0.134561808,0.244504792,0.216161021,,,,271,0.12329102,0.023501409,0.174920497,0.146576726
321,0.444021433,0.135118665,0.248160686,0.219816916,,,,272,0.124867774,0.02414835,0.172202317,0.143858547
322,0.44082044,0.135687749,0.249048202,0.220704432,,,,273,0.126209957,0.024805808,0.168430347,0.140086577
323,0.438412912,0.136374592,0.252394771,0.224051001,,,,274,0.127552141,0.025481693,0.171434438,0.143090668
324,0.436005383,0.137075436,0.254477931,0.226134161,,,,275,0.131224548,0.026666795,0.177637396,0.149293626
325,0.434318473,0.138116863,0.256468293,0.228124522,,,,276,0.134896955,0.027686628,0.181322108,0.152978338
326,0.432631562,0.139181798,0.257122883,0.228779113,,,,277,0.143234608,0.029705271,0.181507735,0.153163965
327,0.430676295,0.139885042,0.25766004,0.22931627,,,,278,0.151572261,0.031765279,0.181537643,0.153193873
328,0.428721028,0.140601259,0.255945746,0.227601976,,,,279,0.169942289,0.036018148,0.182404158,0.154060388
329,0.427126618,0.141417086,0.257360728,0.229016958,,,,280,0.188312318,0.040360094,0.183122502,0.154778732
330,0.425532209,0.142248068,0.262817806,0.234474036,,,,281,0.225140764,0.048763464,0.185768033,0.157424263
331,0.423321754,0.143026772,0.267634828,0.239291058,,,,282,0.261969211,0.05734787,0.186375018,0.158031248
332,0.421111299,0.143821527,0.268511902,0.240168131,,,,283,0.30958045,0.068446763,0.186077104,0.157733333
333,0.418690502,0.144318087,0.270137652,0.241793882,,,,284,0.357191689,0.079764421,0.184522659,0.156178889
334,0.416269705,0.144822954,0.272985335,0.244641565,,,,285,0.388383671,0.087590991,0.185648674,0.157304903
335,0.413838428,0.145533542,0.272236202,0.243892432,,,,286,0.419575653,0.09538407,0.187584669,0.159240899
336,0.411407152,0.146258689,0.270211909,0.241868139,,,,287,0.438071586,0.100319663,0.187658473,0.159314702
337,0.407783284,0.146592289,0.266666944,0.238323174,,,,288,0.45656752,0.105330581,0.186021088,0.157677318
338,0.404159417,0.146932445,0.266776632,0.238432862,,,,289,0.467580571,0.108667613,0.185509287,0.157165517
339,0.400297776,0.146472015,0.265980664,0.237636894,,,,290,0.478593622,0.112049959,0.19141117,0.163067399
340,0.396436136,0.14600495,0.265952717,0.237608947,,,,291,0.48391666,0.114297702,0.196097493,0.167753723
341,0.392597046,0.145673406,0.26352594,0.23518217,,,,292,0.489239699,0.116596827,0.198632691,0.17028892
342,0.388757957,0.145336468,0.263162213,0.234818443,,,,293,0.491079209,0.117905558,0.198667213,0.170323443
343,0.384777918,0.145093005,0.264092782,0.235749011,,,,294,0.49291872,0.1192185,0.201252374,0.172908604
344,0.380797879,0.144844731,0.261808457,0.233464687,,,,295,0.494605758,0.120249999,0.201941071,0.173597301
345,0.377029683,0.144451847,0.260503432,0.232159662,,,,296,0.496292797,0.121241203,0.202727067,0.174383297
346,0.373261488,0.144052985,0.257570477,0.229226707,,,,297,0.496841324,0.122049476,0.201082762,0.172738992
347,0.369454347,0.143409231,0.257478078,0.229134308,,,,298,0.49738985,0.122871223,0.200238224,0.171894454
348,0.365647205,0.142756984,0.256000158,0.227656388,,,,299,0.497042321,0.123398093,0.202767711,0.174423941
349,0.361259778,0.142127042,0.25581748,0.227473709,,,,300,0.496694792,0.123936258,0.208917885,0.180574115
350,0.35687235,0.141486934,0.254120256,0.225776486,,,,301,0.495612772,0.124395641,0.211353603,0.183009833
351,0.352941545,0.140981694,0.251222579,0.222878809,,,,302,0.494530752,0.124869346,0.211743349,0.183399578
352,0.349010741,0.140459903,0.249530425,0.221186655,,,,303,0.492577199,0.125165655,0.212032074,0.183688304
353,0.345440721,0.140015622,0.246033347,0.217689576,,,,304,0.490623645,0.125460768,0.213518396,0.185174626
354,0.341870701,0.139565141,0.244541606,0.216197836,,,,305,0.488314804,0.125736129,0.215233066,0.186889296
355,0.337932908,0.139063359,0.242915781,0.21457201,,,,306,0.486005964,0.1259911,0.215636261,0.187292491
356,0.333995116,0.138553382,0.242036867,0.213693097,,,,307,0.483448765,0.126508067,0.214641989,0.186298219
357,0.330986098,0.138650602,0.239731272,0.211387502,,,,308,0.480891567,0.127016129,0.217328029,0.188984259
358,0.327977081,0.138753221,0.238376835,0.210033065,,,,309,0.478054736,0.127582838,0.222843805,0.194500035
359,0.324764222,0.138881688,0.236860307,0.208516537,,,,310,0.475217906,0.128152253,0.226539283,0.198195513
360,0.321551363,0.139011761,0.235309203,0.206965433,,,,311,0.471888253,0.128539472,0.228115915,0.199772145
361,0.318259783,0.139221569,0.233586666,0.205242896,,,,312,0.468558599,0.128955446,0.229718517,0.201374747
362,0.314968204,0.139438157,0.232021782,0.203678012,,,,313,0.465619984,0.129537192,0.230710988,0.202367218
