wvl,k,n
0.205,6.80843866369378e-08,1.4425095898152642
0.215,1.9672857796271802e-08,1.4275580559770855
0.225,1.1571851586372244e-08,1.4158268158748701
0.23500000000000001,1.0708377567283399e-08,1.4063278702563613
0.24500000000000002,9.892627947615352e-09,1.3984702963484406
0.255,8.64193596937575e-09,1.3918452436363429
0.265,7.425684218494781e-09,1.3861624504003915
0.275,6.271387895029087e-09,1.381247468017429
0.28500000000000003,5.412495342440376e-09,1.3769444642273767
0.29500000000000004,4.412211042305291e-09,1.3731426275470802
0.30500000000000005,3.814497698309715e-09,1.3697730331917866
0.31500000000000006,3.3190455551383453e-09,1.3667487811632397
0.32500000000000007,3.083517421455079e-09,1.3640132787011403
0.3350000000000001,2.8817702150803444e-09,1.3615050494437577
0.3450000000000001,2.6562477177252326e-09,1.3592625170174288
0.3550000000000001,2.4159433493004352e-09,1.3572110083307334
0.3650000000000001,2.21228589591997e-09,1.3553263571221643
0.3750000000000001,2.030901975362317e-09,1.353589579710145
0.3850000000000001,1.8338734872890953e-09,1.3519838156558341
0.39500000000000013,1.6692672178686819e-09,1.350491594376022
0.40500000000000014,1.48359298639283e-09,1.3491030884046615
0.41500000000000015,1.338257640642005e-09,1.3478053386480138
0.42500000000000016,1.162703393752921e-09,1.3465918964867822
0.43500000000000016,1.0104257635802605e-09,1.3454515587581164
0.4450000000000002,8.642553449331449e-10,1.3443801141809975
0.4550000000000002,7.794091629903836e-10,1.3433668432235237
0.4650000000000002,7.476911540614696e-10,1.3424104826542524
0.4750000000000002,7.028408291017263e-10,1.3415049427469763
0.4850000000000002,7.154566205318037e-10,1.340644565081205
0.4950000000000002,7.808320466528623e-10,1.339827275712132
0.5050000000000002,1.0893575586478826e-09,1.339047613540417
0.5150000000000002,1.4520596936665592e-09,1.3383047959268786
0.5250000000000002,1.6444469993850941e-09,1.337593757588051
0.5350000000000003,1.905649109180684e-09,1.3369141121857726
0.5450000000000003,2.2858930419398735e-09,1.3362604121480135
0.5550000000000003,2.6747517863741506e-09,1.3356332456302393
0.5650000000000003,3.135415823938521e-09,1.3350313097195305
0.5750000000000003,3.8098574584199764e-09,1.3344503511964334
0.5850000000000003,5.265796004641534e-09,1.3338906335716754
0.5950000000000003,7.558393231488958e-09,1.3333515259958213
0.6050000000000003,1.1215045927132465e-08,1.332830627638163
0.6150000000000003,1.326938851155773e-08,1.3323258116887147
0.6250000000000003,1.4694109781786753e-08,1.3318344366778094
0.6350000000000003,1.548840688739719e-08,1.3313605667705914
0.6450000000000004,1.6021240322132872e-08,1.33090651014885
0.6550000000000004,1.7871827442427504e-08,1.330474863300706
0.6650000000000004,2.0259223244041668e-08,1.330063093384458
0.6750000000000004,2.1860100098688974e-08,1.3296720020348227
0.6850000000000004,2.4529213150771708e-08,1.3292960019199551
0.6950000000000004,2.961823616606674e-08,1.328938853601085
0.7050000000000004,4.0978193e-08,1.3261193628052599
0.7150000000000004,5.7742e-08,1.3260527402312843
0.7250000000000004,8.803936250867486e-08,1.325985020268139
0.7350000000000004,1.4528632e-07,1.3259162336470136
0.7450000000000004,1.6763806e-07,1.3258463143738317
0.7550000000000004,1.7136335e-07,1.3257752336487716
0.7650000000000005,1.73226e-07,1.3257030871853952
0.7750000000000005,1.6950071e-07,1.32562972417962
0.7850000000000005,1.6018748e-07,1.3255551516498316
0.7950000000000005,1.4714897e-07,1.3254793992284963
0.8050000000000005,1.3969839e-07,1.3254024731648808
0.8150000000000005,1.4342368e-07,1.3253243355749726
0.8250000000000005,1.7136335e-07,1.325244913974398
0.8350000000000005,2.4586916e-07,1.3251643394881714
0.8450000000000005,2.7380884e-07,1.3250825758244953
0.8550000000000005,2.9243529e-07,1.3249995477866061
0.8650000000000005,3.1664968e-07,1.324915210356301
0.8750000000000006,3.4831464e-07,1.3248295965451835
0.8850000000000006,3.9115548e-07,1.3247427411203814
0.8950000000000006,4.3585896e-07,1.324654543913494
0.9050000000000006,4.831810026789133e-07,1.3245650159214692
