WL,n,k
4.239,1.3447,0.01867
4.348,1.3406,0.02411
4.387,1.3401,0.02656
4.444,1.3412,0.0299
4.505,1.3444,0.03179
4.547,1.3473,0.0309
4.56,1.3482,0.03007
4.58,1.3491,0.02883
4.719,1.347,0.0194
4.904,1.3379,0.01347
5,1.3325,0.0124
