wl,n,k
1.75,1.305142,0.0001
1.76,1.304727,0.000105
1.77,1.304442,0.000112
1.78,1.304155,0.000122
1.79,1.303718,0.000133
1.8,1.303418,0.000136
1.81,1.302947,0.000137
1.82,1.302616,0.000138
1.83,1.302269,0.000142
1.84,1.301709,0.000155
1.85,1.301291,0.000186
1.86,1.300633,0.00032
1.87,1.300214,0.000521
1.88,1.29986,0.000722
1.89,1.299545,0.000922
1.9,1.298998,0.00116
1.91,1.298791,0.00168
1.92,1.298793,0.00183
1.93,1.298681,0.00192
1.94,1.29859,0.00191
1.95,1.298472,0.00185
1.96,1.298308,0.00172
1.97,1.298051,0.00155
1.98,1.297607,0.0014
1.99,1.297292,0.00125
2,1.296913,0.0011
2.01,1.296499,0.00099
2.02,1.296066,0.000889
2.03,1.295606,0.000805
2.04,1.294919,0.000739
2.05,1.294457,0.000674
2.06,1.293973,0.000621
2.07,1.293476,0.000573
2.08,1.292966,0.000529
2.09,1.292438,0.000488
2.1,1.291899,0.000464
2.11,1.291353,0.00044
2.12,1.290795,0.000418
2.13,1.290221,0.000397
2.14,1.289634,0.000383
2.15,1.289033,0.000371
2.16,1.288418,0.000359
2.17,1.287787,0.000351
2.18,1.287139,0.000343
2.19,1.286474,0.000339
2.2,1.28579,0.000338
2.21,1.285087,0.000339
2.22,1.284365,0.000341
2.23,1.283619,0.000346
2.24,1.282852,0.000357
2.25,1.282064,0.000374
2.26,1.281256,0.00039
2.27,1.280421,0.000408
2.28,1.279561,0.000429
2.29,1.278675,0.000451
2.3,1.277755,0.000469
2.31,1.276797,0.000492
2.32,1.276305,0.000511
2.33,1.275295,0.000543
2.34,1.274257,0.0006
2.35,1.273184,0.000636
2.36,1.272062,0.000685
2.37,1.270902,0.000743
2.38,1.269682,0.000792
2.39,1.269059,0.000849
2.4,1.267787,0.000909
2.41,1.26645,0.00099
2.42,1.265059,0.00107
2.43,1.263577,0.00115
2.44,1.262824,0.00125
2.45,1.261297,0.00135
2.46,1.259683,0.00147
2.47,1.257969,0.00158
2.48,1.257102,0.00171
2.49,1.255347,0.00181
2.5,1.253465,0.0019
