wvl,BRA,BRB,BRC,HE1A,HE2A,HE2B,HE2C,MIT1A,MIT1B,MIT1C,MIT2A,MIT2B,MIT2C,MIT3A,MIT3B,MIT3C,MIT4A,MIT4B,MIT4C,MIT5A,MIT5B,MIT5C
452,0.003617562,0.003639663,0.003520431,0.003554089,0.004110901,0.003830151,0.003943911,0.003517388,0.006412743,0.004661984,0.00246139,0.001888398,0.001826272,0.003770407,0.00362918,0.003669091,0.003598193,0.00358969,0.003915372,0.003681421,0.003506029,0.003837526
455,0.003549122,0.003560108,0.003485917,0.003469468,0.004110901,0.003725693,0.003853246,0.003433641,0.006357461,0.004661984,0.002412488,0.001838703,0.001780615,0.003691857,0.003562954,0.003587555,0.003494541,0.003507168,0.003840794,0.003587765,0.003429603,0.003745845
458,0.003461127,0.003460663,0.00334786,0.003469468,0.003768326,0.003586414,0.003702139,0.003349894,0.006246896,0.004558385,0.002330985,0.001764161,0.00171213,0.003554394,0.003456992,0.003465252,0.003376082,0.003418752,0.003710281,0.003465291,0.003324518,0.003641066
461,0.003392687,0.003387737,0.003244318,0.003342536,0.003597039,0.003447136,0.003611474,0.003266146,0.006163973,0.004454785,0.002265783,0.001714466,0.001620816,0.003456207,0.003390767,0.003383717,0.003316853,0.003348019,0.003617058,0.00336443,0.003241723,0.003555933
464,0.003334024,0.003321441,0.00317529,0.003300226,0.003597039,0.003377497,0.00353592,0.003182399,0.006136332,0.004454785,0.002216881,0.001664772,0.001597988,0.003397294,0.003337786,0.003342949,0.003257623,0.003277287,0.00354248,0.003285182,0.003171666,0.003483897
467,0.003275361,0.003255145,0.003140776,0.003173294,0.003597039,0.003307858,0.003460366,0.003098652,0.006108691,0.004454785,0.00220058,0.001615077,0.00157516,0.003377656,0.003284805,0.003302182,0.003198394,0.003218343,0.00350519,0.003213139,0.003117531,0.003405313
470,0.003216697,0.003188849,0.003071748,0.003173294,0.003425751,0.003238219,0.003354591,0.003014904,0.006025767,0.004351185,0.002135378,0.001565382,0.001529503,0.003299106,0.003231824,0.00324103,0.003124357,0.00314761,0.003449257,0.003141095,0.003053843,0.003333278
473,0.003148257,0.003122553,0.00300272,0.003173294,0.003254464,0.00313376,0.003263926,0.002931157,0.005942844,0.004247586,0.002070175,0.001515688,0.001461018,0.003240194,0.003152353,0.003179879,0.00305032,0.003082771,0.003374678,0.003069052,0.003002893,0.003267791
476,0.003089594,0.003062886,0.002933692,0.003088673,0.003083176,0.003029302,0.003173262,0.00284741,0.00585992,0.004143986,0.002004973,0.001441146,0.001392532,0.003161644,0.003112618,0.003098343,0.00299109,0.003029722,0.0033001,0.002989804,0.002951942,0.003215402
479,0.003040708,0.003016479,0.002864664,0.003046362,0.003254464,0.002959662,0.003067486,0.002763662,0.005721715,0.004143986,0.001939771,0.001416298,0.001369704,0.003083093,0.003046392,0.003037192,0.002887439,0.002976672,0.003206876,0.002896148,0.002900992,0.003149915
482,0.002991822,0.002963442,0.002761122,0.002961741,0.003083176,0.002820384,0.002976822,0.002596167,0.00561115,0.003936787,0.001858268,0.001316909,0.00127839,0.003004543,0.002993411,0.002955657,0.002813402,0.002923623,0.003132298,0.002809695,0.002815013,0.003084428
485,0.002942936,0.002923664,0.002761122,0.00287712,0.002911889,0.002820384,0.002961711,0.00251242,0.005583509,0.003833187,0.001841967,0.001292061,0.00127839,0.003004543,0.002966921,0.00297604,0.002798595,0.002888256,0.003132298,0.002773674,0.002779985,0.003045136
488,0.002913604,0.002897145,0.002795636,0.00287712,0.002911889,0.002820384,0.002916379,0.002428673,0.005528227,0.003833187,0.001825667,0.001267214,0.001255562,0.002984906,0.00294043,0.00297604,0.00276898,0.00285289,0.003113653,0.002752061,0.002757694,0.003018941
491,0.002874496,0.002863997,0.00283015,0.00287712,0.002911889,0.002820384,0.002871046,0.00251242,0.005445303,0.003833187,0.001793065,0.001267214,0.001255562,0.002965268,0.00288745,0.002955657,0.002724558,0.002817523,0.003076364,0.002716039,0.002751325,0.002986198
494,0.002854941,0.002837479,0.002761122,0.002919431,0.002911889,0.002750745,0.002795492,0.002428673,0.005307098,0.003729587,0.001711562,0.001217519,0.001209905,0.002906356,0.002860959,0.002894505,0.002680136,0.002793946,0.00302043,0.002672813,0.002706743,0.002966552
497,0.002845164,0.00281759,0.002692094,0.00287712,0.002911889,0.002646286,0.00275016,0.002344925,0.005224174,0.003625988,0.001613759,0.001167825,0.00114142,0.00286708,0.002847714,0.002833353,0.002635713,0.002776263,0.002983141,0.002629587,0.002665346,0.002946906
500,0.00282561,0.002804331,0.00265758,0.002834809,0.002911889,0.002611467,0.00275016,0.002261178,0.005224174,0.003522388,0.001581158,0.001142977,0.001095763,0.002886718,0.002860959,0.002853737,0.002650521,0.002752685,0.003001785,0.002622382,0.002643055,0.00292726
503,0.002806055,0.002784442,0.002692094,0.002792499,0.002911889,0.002611467,0.00275016,0.002261178,0.005168892,0.003522388,0.001548556,0.00111813,0.001095763,0.002906356,0.002847714,0.002853737,0.002650521,0.002729107,0.003039075,0.002622382,0.002655793,0.002914162
506,0.002776724,0.002764553,0.00265758,0.002792499,0.002740601,0.002576647,0.002719939,0.002177431,0.005085969,0.003418788,0.001499655,0.001068435,0.001050106,0.002886718,0.002821224,0.002853737,0.002606099,0.00270553,0.00302043,0.002600769,0.002627133,0.002894516
509,0.002757169,0.002744664,0.00265758,0.002792499,0.002569313,0.002576647,0.002674606,0.002009936,0.005003045,0.003315189,0.001450753,0.001043588,0.00100445,0.00286708,0.002794733,0.002833353,0.002576484,0.002687847,0.003001785,0.002586361,0.002595289,0.002887968
512,0.002747392,0.002731405,0.002623066,0.002792499,0.002569313,0.002507008,0.002674606,0.001926189,0.004920122,0.003107989,0.00138555,0.000993893,0.000958793,0.002847443,0.002781488,0.00281297,0.002576484,0.002670163,0.002964496,0.002550339,0.002576183,0.002868322
515,0.002727838,0.002724775,0.002588552,0.002750188,0.002569313,0.002472189,0.002644385,0.001842441,0.004837198,0.00300439,0.001336649,0.000969046,0.000935964,0.002827805,0.002768243,0.002792586,0.002561676,0.00265248,0.002945852,0.002528726,0.002550708,0.002848676
518,0.00271806,0.002711516,0.002554038,0.002707878,0.002569313,0.002437369,0.002614163,0.001842441,0.004698993,0.00290079,0.001271446,0.000919351,0.000890308,0.002768893,0.002754998,0.002751818,0.002517254,0.002640691,0.002889918,0.002499908,0.002544339,0.002835578
521,0.002708283,0.002698257,0.002554038,0.002665567,0.002398026,0.002402549,0.002583942,0.001758694,0.004616069,0.00290079,0.001206244,0.000894504,0.000844651,0.002768893,0.002754998,0.002731434,0.00248764,0.002628903,0.002871273,0.0024855,0.002544339,0.00282903
524,0.002688729,0.002678368,0.00248501,0.002707878,0.002398026,0.00236773,0.002538609,0.001674947,0.004450223,0.002693591,0.001141042,0.000844809,0.000821822,0.002729618,0.002715262,0.002690667,0.002443217,0.002599431,0.002833984,0.002449478,0.002525232,0.002822481
527,0.002659397,0.002665109,0.002519524,0.002707878,0.002569313,0.00236773,0.002508388,0.001674947,0.004339658,0.002589991,0.00110844,0.000844809,0.000821822,0.00270998,0.002675527,0.002690667,0.002398795,0.002581747,0.002815339,0.002442274,0.002512495,0.002809383
530,0.002630066,0.00264522,0.002519524,0.002665567,0.002569313,0.00233291,0.002478166,0.001674947,0.004229093,0.002589991,0.001059539,0.000819962,0.000798994,0.002670705,0.002635791,0.002670283,0.002354373,0.00255817,0.00277805,0.002427865,0.002490204,0.002789737
